GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
330.0,101.0,8.96,4.0,Fall 2020,ncsu,2
324.0,107.0,7.39,4.0,Fall 2020,ncsu,2
311.0,105.0,9.34,1.0,Fall 2020,ncsu,2
319.0,106.0,9.1,21.0,Fall 2020,ncsu,2
319.0,107.0,8.38,0.0,Fall 2020,ncsu,2
307.0,93.0,9.0,6.0,Fall 2020,ncsu,2
320.0,101.0,9.02,6.0,Fall 2020,ncsu,2
314.0,114.0,8.8,27.0,Fall 2020,ncsu,2
332.0,114.0,9.21,16.0,Fall 2020,ncsu,2
306.0,8.0,7.7,32.0,Fall 2020,ncsu,2
317.0,101.0,8.28,63.0,Fall 2020,ncsu,2
320.0,106.0,8.74,4.0,Fall 2020,ncsu,2
322.0,114.0,8.9,0.0,Fall 2020,ncsu,2
312.0,104.0,9.72,33.0,Fall 2020,ncsu,2
319.0,107.0,8.12,2.0,Fall 2020,ncsu,2
323.0,98.0,8.37,16.0,Fall 2020,ncsu,2
322.0,112.0,9.77,0.0,Fall 2020,ncsu,2
316.0,107.0,9.15,0.0,Fall 2020,ncsu,2
319.0,114.0,8.43,1.0,Fall 2020,ncsu,2
323.0,112.0,8.5,0.0,Fall 2020,ncsu,2
312.0,114.0,8.05,2.0,Fall 2020,ncsu,2
326.0,108.0,9.36,0.0,Fall 2020,ncsu,2
312.0,114.0,9.22,18.0,Fall 2020,ncsu,2
321.0,109.0,71.27,18.0,Fall 2020,ncsu,2
317.0,103.0,9.4,26.0,Fall 2020,ncsu,2
314.0,94.0,7.73,19.0,Fall 2020,ncsu,2
315.0,107.0,9.25,5.0,Fall 2020,ncsu,2
320.0,104.0,82.0,34.0,Fall 2020,ncsu,2
323.0,108.0,8.6,0.0,Fall 2020,ncsu,2
324.0,110.0,9.18,10.0,Fall 2020,ncsu,2
313.0,103.0,81.83,26.0,Fall 2020,ncsu,2
309.0,96.0,9.6,1.0,Fall 2020,ncsu,2
321.0,102.0,9.1,31.0,Fall 2020,ncsu,2
316.0,103.0,9.23,40.0,Fall 2020,ncsu,2
316.0,95.0,7.68,17.0,Fall 2020,ncsu,2
320.0,103.0,7.8,24.0,Fall 2020,ncsu,2
328.0,108.0,72.1,17.0,Fall 2020,ncsu,2
318.0,106.0,7.95,4.0,Fall 2020,ncsu,2
326.0,114.0,8.18,8.0,Fall 2020,ncsu,2
315.0,102.0,9.31,6.0,Fall 2019,ncsu,2
318.0,89.0,8.0,24.0,Fall 2019,ncsu,2
321.0,114.0,8.1,0.0,Fall 2020,ncsu,2
323.0,114.0,9.16,0.0,Fall 2020,ncsu,2
333.0,114.0,8.1,37.0,Fall 2020,ncsu,2
313.0,98.0,78.0,13.0,Fall 2020,ncsu,2
318.0,110.0,8.83,2.0,Fall 2020,ncsu,2
320.0,0.0,9.4,23.0,Fall 2020,ncsu,2
327.0,108.0,9.35,26.0,Fall 2020,ncsu,2
320.0,101.0,83.0,34.0,Fall 2020,ncsu,2
322.0,101.0,8.54,6.0,Fall 2020,ncsu,2
322.0,106.0,8.43,18.0,Fall 2020,ncsu,2
320.0,110.0,93.4,24.0,Fall 2020,ncsu,2
326.0,115.0,8.98,2.0,Fall 2020,ncsu,2
323.0,107.0,9.18,24.0,Fall 2019,ncsu,2
325.0,112.0,9.0,1.0,Fall 2020,ncsu,2
329.0,110.0,8.73,58.0,Fall 2020,ncsu,2
320.0,94.0,77.6,38.0,Fall 2020,ncsu,2
317.0,108.0,9.56,19.0,Fall 2020,ncsu,2
327.0,108.0,8.6,22.0,Fall 2020,ncsu,2
325.0,110.0,8.8,12.0,Fall 2020,ncsu,2
316.0,101.0,84.0,0.0,Fall 2020,ncsu,2
324.0,113.0,9.2,7.0,Fall 2020,ncsu,2
323.0,114.0,9.75,5.0,Fall 2020,ncsu,2
314.0,93.0,83.0,3.0,Fall 2020,ncsu,2
323.0,105.0,8.7,1.0,Fall 2020,ncsu,2
330.0,112.0,9.08,0.0,Fall 2020,ncsu,2
321.0,108.0,7.9,0.0,Fall 2020,ncsu,2
322.0,117.0,8.92,2.0,Fall 2020,ncsu,2
320.0,109.0,9.27,2.0,Fall 2020,ncsu,2
324.0,109.0,9.47,18.0,Fall 2020,ncsu,2
323.0,104.0,8.53,6.0,Fall 2020,ncsu,2
327.0,110.0,9.42,56.0,Fall 2020,ncsu,2
308.0,105.0,8.36,8.0,Fall 2020,ncsu,2
314.0,110.0,9.1,0.0,Fall 2020,ncsu,2
315.0,102.0,8.8,1.0,Fall 2020,ncsu,2
314.0,101.0,9.51,3.0,Fall 2020,ncsu,2
313.0,101.0,9.12,0.0,Fall 2020,ncsu,2
324.0,108.0,9.14,1.0,Fall 2020,ncsu,2
322.0,106.0,9.01,20.0,Fall 2020,ncsu,2
324.0,111.0,9.6,3.0,Fall 2020,ncsu,2
318.0,103.0,8.2,16.0,Fall 2020,ncsu,2
310.0,92.0,8.39,29.0,Fall 2020,ncsu,2
321.0,100.0,8.2,2.0,Fall 2020,ncsu,2
324.0,111.0,8.37,7.0,Fall 2020,ncsu,2
319.0,107.0,7.83,13.0,Fall 2020,ncsu,2
322.0,103.0,8.8,8.0,Fall 2020,ncsu,2
325.0,112.0,8.43,1.0,Fall 2020,ncsu,2
325.0,108.0,7.88,14.0,Fall 2020,ncsu,2
316.0,107.0,76.4,15.0,Fall 2020,ncsu,2
323.0,112.0,8.11,2.0,Fall 2020,ncsu,2
319.0,109.0,8.84,9.0,Fall 2020,ncsu,2
320.0,99.0,7.75,40.0,Fall 2020,ncsu,2
323.0,111.0,75.0,16.0,Fall 2020,ncsu,2
314.0,107.0,9.36,18.0,Fall 2020,ncsu,2
313.0,107.0,9.15,33.0,Fall 2020,ncsu,2
324.0,106.0,7.73,13.0,Fall 2020,ncsu,2
318.0,106.0,75.0,0.0,Fall 2020,ncsu,2
323.0,108.0,8.54,0.0,Fall 2020,ncsu,2
314.0,100.0,8.2,3.0,Fall 2020,ncsu,2
323.0,112.0,9.4,1.0,Fall 2020,ncsu,2
321.0,105.0,8.71,0.0,Fall 2020,ncsu,2
314.0,94.0,8.13,6.0,Fall 2020,ncsu,2
322.0,97.0,8.53,0.0,Fall 2020,ncsu,2
313.0,101.0,7.76,0.0,Fall 2020,ncsu,2
323.0,106.0,8.93,12.0,Fall 2020,ncsu,2
333.0,117.0,7.35,42.0,Fall 2020,ncsu,2
323.0,106.0,8.2,2.0,Fall 2020,ncsu,2
316.0,103.0,7.59,24.0,Fall 2020,ncsu,2
322.0,111.0,8.38,27.0,Fall 2020,ncsu,2
323.0,102.0,8.9,3.0,Fall 2020,ncsu,2
332.0,104.0,8.75,17.0,Fall 2020,ncsu,2
319.0,98.0,8.5,17.0,Fall 2020,ncsu,2
331.0,108.0,8.78,20.0,Fall 2020,ncsu,2
314.0,98.0,8.66,0.0,Fall 2019,ncsu,2
324.0,109.0,8.26,20.0,Fall 2020,ncsu,2
321.0,114.0,9.14,20.0,Fall 2020,ncsu,2
317.0,102.0,8.25,30.0,Fall 2020,ncsu,2
320.0,101.0,9.35,18.0,Fall 2020,ncsu,2
321.0,109.0,8.33,32.0,Fall 2020,ncsu,2
307.0,96.0,9.43,60.0,Fall 2020,ncsu,2
320.0,106.0,8.55,20.0,Fall 2020,ncsu,2
334.0,114.0,8.22,5.0,Fall 2020,ncsu,2
319.0,99.0,8.96,15.0,Fall 2020,ncsu,2
321.0,118.0,9.15,17.0,Fall 2020,ncsu,2
320.0,95.0,82.06,16.0,Fall 2020,ncsu,2
327.0,119.0,8.68,25.0,Fall 2020,ncsu,2
320.0,102.0,76.0,8.0,Fall 2020,ncsu,2
316.0,103.0,8.42,2.0,Fall 2020,ncsu,2
327.0,106.0,8.34,9.0,Fall 2020,ncsu,2
324.0,111.0,8.78,8.0,Fall 2020,ncsu,2
323.0,109.0,9.06,1.0,Fall 2020,ncsu,2
324.0,111.0,8.77,0.0,Fall 2020,ncsu,2
326.0,111.0,8.09,31.0,Fall 2020,ncsu,2
318.0,110.0,8.8,0.0,Fall 2020,ncsu,2
323.0,114.0,8.94,23.0,Fall 2020,ncsu,2
316.0,105.0,8.99,1.0,Fall 2020,ncsu,2
316.0,104.0,8.82,7.0,Fall 2020,ncsu,2
321.0,112.0,72.5,0.0,Fall 2020,ncsu,2
311.0,110.0,9.27,28.0,Fall 2020,ncsu,2
322.0,106.0,8.56,1.0,Fall 2020,ncsu,2
315.0,111.0,74.0,15.0,Fall 2020,ncsu,2
319.0,100.0,9.24,0.0,Fall 2020,ncsu,2
318.0,108.0,9.35,21.0,Fall 2020,ncsu,2
313.0,94.0,9.44,18.0,Fall 2020,ncsu,2
327.0,109.0,9.0,13.0,Fall 2020,ncsu,2
325.0,111.0,8.9,15.0,Fall 2020,ncsu,2
324.0,114.0,9.23,5.0,Fall 2020,ncsu,2
324.0,109.0,8.8,33.0,Fall 2020,ncsu,2
321.0,108.0,9.45,47.0,Fall 2020,ncsu,2
326.0,112.0,8.19,30.0,Fall 2020,ncsu,2
323.0,105.0,9.44,0.0,Fall 2020,ncsu,2
317.0,99.0,9.52,18.0,Fall 2020,ncsu,2
322.0,108.0,7.64,2.0,Fall 2020,ncsu,2
309.0,98.0,80.0,40.0,Fall 2019,ncsu,2
319.0,107.0,9.41,17.0,Fall 2020,ncsu,2
318.0,103.0,83.0,15.0,Fall 2020,ncsu,2
323.0,114.0,9.25,0.0,Fall 2020,ncsu,2
314.0,91.0,9.28,26.0,Fall 2020,ncsu,2
326.0,117.0,9.6,30.0,Fall 2020,ncsu,2
314.0,99.0,8.78,18.0,Fall 2020,ncsu,2
317.0,106.0,80.23,24.0,Fall 2020,ncsu,2
320.0,108.0,8.64,6.0,Fall 2020,ncsu,2
315.0,107.0,82.0,19.0,Fall 2020,ncsu,2
320.0,100.0,9.09,0.0,Fall 2020,ncsu,2
323.0,110.0,9.7,0.0,Fall 2020,ncsu,2
311.0,102.0,8.87,40.0,Fall 2020,ncsu,2
326.0,111.0,9.533,24.0,Fall 2020,ncsu,2
329.0,116.0,9.45,3.0,Fall 2020,ncsu,2
327.0,112.0,8.89,3.0,Fall 2020,ncsu,2
318.0,111.0,8.7,35.0,Fall 2020,ncsu,2
322.0,110.0,9.57,7.0,Fall 2020,ncsu,2
312.0,100.0,8.42,0.0,Fall 2020,ncsu,2
336.0,118.0,8.47,18.0,Fall 2020,ncsu,2
323.0,109.0,7.1,1.0,Fall 2020,ncsu,2
323.0,111.0,8.17,33.0,Fall 2020,ncsu,2
320.0,102.0,9.22,0.0,Fall 2020,ncsu,2
315.0,106.0,9.01,16.0,Fall 2020,ncsu,2
315.0,111.0,9.3,12.0,Fall 2020,ncsu,2
318.0,108.0,83.0,13.0,Fall 2020,ncsu,2
316.0,97.0,9.02,0.0,Fall 2020,ncsu,2
321.0,105.0,9.64,2.0,Fall 2020,ncsu,2
319.0,105.0,8.97,8.0,Fall 2020,ncsu,2
325.0,101.0,8.1,0.0,Fall 2020,ncsu,2
325.0,110.0,9.5,40.0,Fall 2020,ncsu,2
315.0,100.0,9.04,17.0,Fall 2020,ncsu,2
307.0,109.0,9.45,2.0,Fall 2020,ncsu,2
320.0,115.0,9.33,0.0,Fall 2020,ncsu,2
325.0,105.0,9.5,38.0,Fall 2020,ncsu,2
331.0,116.0,9.5,18.0,Fall 2020,ncsu,2
321.0,102.0,7.71,40.0,Fall 2020,ncsu,2
319.0,111.0,7.83,0.0,Fall 2020,ncsu,2
315.0,100.0,8.6,2.0,Fall 2020,ncsu,2
316.0,104.0,7.36,6.0,Fall 2020,ncsu,2
308.0,102.0,72.6285,7.0,Fall 2019,ncsu,2
314.0,107.0,8.5,0.0,Fall 2018,ncsu,2
313.0,101.0,66.44,43.0,Spring 2020,ncsu,2
320.0,108.0,8.73,2.0,Spring 2020,ncsu,2
314.0,98.0,81.68,53.0,Fall 2019,ncsu,2
318.0,104.0,9.38,17.0,Fall 2019,ncsu,2
326.0,112.0,8.86,23.0,Fall 2019,ncsu,2
319.0,104.0,78.28,30.0,Fall 2019,ncsu,2
328.0,116.0,8.06,2.0,Fall 2019,ncsu,2
316.0,103.0,8.6,0.0,Fall 2019,ncsu,2
311.0,104.0,7.3,0.0,Fall 2019,ncsu,2
313.0,105.0,8.5,39.0,Fall 2019,ncsu,2
320.0,117.0,8.91,18.0,Fall 2019,ncsu,2
322.0,114.0,8.04,24.0,Fall 2019,ncsu,2
327.0,117.0,9.2,4.0,Fall 2019,ncsu,2
328.0,112.0,9.43,2.0,Fall 2019,ncsu,2
322.0,103.0,7.31,26.0,Fall 2019,ncsu,2
324.0,113.0,8.92,0.0,Fall 2019,ncsu,2
317.0,100.0,9.56,26.0,Fall 2019,ncsu,2
316.0,95.0,73.0,60.0,Fall 2019,ncsu,2
317.0,104.0,8.21,2.0,Fall 2019,ncsu,2
320.0,107.0,76.0,23.0,Fall 2019,ncsu,2
319.0,92.0,8.0,12.0,Fall 2019,ncsu,2
324.0,108.0,82.3,6.0,Fall 2019,ncsu,2
326.0,109.0,8.17,0.0,Fall 2019,ncsu,2
317.0,0.0,82.0,0.0,Fall 2019,ncsu,2
317.0,110.0,9.41,13.0,Fall 2019,ncsu,2
318.0,113.0,82.79,3.0,Fall 2019,ncsu,2
325.0,107.0,77.0,9.0,Fall 2019,ncsu,2
316.0,107.0,9.22,2.0,Fall 2018,ncsu,2
320.0,108.0,8.8,18.0,Fall 2020,ncsu,2
324.0,109.0,9.2,13.0,Fall 2019,ncsu,2
315.0,109.0,81.0,37.0,Fall 2019,ncsu,2
322.0,114.0,8.34,1.0,Fall 2019,ncsu,2
321.0,114.0,9.32,22.0,Fall 2019,ncsu,2
316.0,101.0,8.3,29.0,Fall 2019,ncsu,2
324.0,117.0,8.31,57.0,Fall 2019,ncsu,2
320.0,105.0,81.0,28.0,Fall 2019,ncsu,2
323.0,108.0,87.3,14.0,Fall 2019,ncsu,2
320.0,107.0,8.79,41.0,Fall 2019,ncsu,2
321.0,103.0,8.64,38.0,Fall 2019,ncsu,2
314.0,109.0,8.5,0.0,Fall 2019,ncsu,2
318.0,104.0,81.9,0.0,Fall 2019,ncsu,2
323.0,101.0,73.0,15.0,Fall 2019,ncsu,2
318.0,101.0,10.0,12.0,Fall 2019,ncsu,2
332.0,106.0,8.44,22.0,Fall 2019,ncsu,2
321.0,100.0,72.0,7.0,Fall 2019,ncsu,2
316.0,108.0,9.69,30.0,Fall 2019,ncsu,2
329.0,109.0,8.7,2.0,Fall 2018,ncsu,2
318.0,108.0,9.41,28.0,Fall 2018,ncsu,2
322.0,107.0,8.77,0.0,Fall 2019,ncsu,2
322.0,105.0,7.93,25.0,Fall 2019,ncsu,2
316.0,110.0,9.1,21.0,Fall 2019,ncsu,2
321.0,0.0,9.32,0.0,Fall 2019,ncsu,2
312.0,103.0,8.49,60.0,Spring 2019,ncsu,2
317.0,100.0,8.17,0.0,Fall 2019,ncsu,2
316.0,103.0,8.62,19.0,Fall 2019,ncsu,2
327.0,0.0,9.36,0.0,Fall 2019,ncsu,2
329.0,118.0,87.5,15.0,Fall 2019,ncsu,2
325.0,112.0,84.0,36.0,Fall 2019,ncsu,2
314.0,97.0,8.0,0.0,Fall 2019,ncsu,2
328.0,117.0,9.26,5.0,Fall 2019,ncsu,2
324.0,103.0,8.3,46.0,Fall 2019,ncsu,2
328.0,112.0,8.85,19.0,Fall 2019,ncsu,2
322.0,105.0,8.05,19.0,Fall 2019,ncsu,2
320.0,114.0,8.96,6.0,Fall 2019,ncsu,2
318.0,108.0,9.5,34.0,Fall 2019,ncsu,2
317.0,96.0,6.98,9.0,Fall 2019,ncsu,2
320.0,99.0,8.71,37.0,Fall 2019,ncsu,2
318.0,110.0,8.76,17.0,Fall 2019,ncsu,2
316.0,104.0,9.2,20.0,Fall 2019,ncsu,2
324.0,110.0,9.0,0.0,Fall 2019,ncsu,2
329.0,115.0,8.3,0.0,Fall 2019,ncsu,2
320.0,109.0,8.5,2.0,Fall 2019,ncsu,2
324.0,113.0,85.0,5.0,Fall 2019,ncsu,2
322.0,108.0,8.91,20.0,Fall 2019,ncsu,2
321.0,97.0,7.81,3.0,Fall 2019,ncsu,2
333.0,115.0,7.9,2.0,Fall 2019,ncsu,2
320.0,105.0,85.34,31.0,Fall 2019,ncsu,2
324.0,109.0,8.32,21.0,Fall 2019,ncsu,2
320.0,107.0,8.8,0.0,Fall 2019,ncsu,2
320.0,107.0,9.19,4.0,Fall 2019,ncsu,2
327.0,107.0,8.37,5.0,Fall 2019,ncsu,2
326.0,0.0,8.4,25.0,Fall 2019,ncsu,2
318.0,109.0,8.702,0.0,Fall 2019,ncsu,2
324.0,113.0,83.0,12.0,Fall 2019,ncsu,2
319.0,110.0,9.6,26.0,Fall 2018,ncsu,2
317.0,107.0,9.3,0.0,Fall 2019,ncsu,2
314.0,99.0,8.15,12.0,Fall 2019,ncsu,2
318.0,108.0,75.33,15.0,Fall 2019,ncsu,2
317.0,109.0,9.21,2.0,Fall 2019,ncsu,2
320.0,105.0,8.2,0.0,Fall 2019,ncsu,2
321.0,104.0,9.146,8.0,Fall 2019,ncsu,2
323.0,111.0,73.38,0.0,Fall 2019,ncsu,2
316.0,100.0,8.67,9.0,Fall 2019,ncsu,2
315.0,98.0,9.4,6.0,Fall 2019,ncsu,2
326.0,111.0,8.5,0.0,Fall 2019,ncsu,2
317.0,109.0,9.2,2.0,Fall 2019,ncsu,2
319.0,113.0,8.47,14.0,Fall 2019,ncsu,2
318.0,100.0,81.65,14.0,Fall 2018,ncsu,2
319.0,117.0,83.5,23.0,Fall 2019,ncsu,2
314.0,110.0,9.2,5.0,Fall 2019,ncsu,2
321.0,113.0,9.12,1.0,Fall 2019,ncsu,2
330.0,105.0,9.37,3.0,Fall 2019,ncsu,2
321.0,106.0,9.05,4.0,Fall 2019,ncsu,2
320.0,98.0,7.21,4.0,Fall 2019,ncsu,2
324.0,110.0,70.3,13.0,Fall 2019,ncsu,2
318.0,0.0,8.48,2.0,Fall 2019,ncsu,2
323.0,107.0,75.2,0.0,Fall 2019,ncsu,2
316.0,110.0,8.9,18.0,Fall 2019,ncsu,2
319.0,105.0,8.24,0.0,Fall 2019,ncsu,2
322.0,107.0,8.84,0.0,Fall 2019,ncsu,2
312.0,114.0,8.8,14.0,Fall 2019,ncsu,2
315.0,103.0,9.05,21.0,Fall 2019,ncsu,2
319.0,95.0,9.17,20.0,Fall 2019,ncsu,2
320.0,99.0,8.24,25.0,Fall 2019,ncsu,2
317.0,98.0,9.45,29.0,Fall 2019,ncsu,2
319.0,110.0,8.22,39.0,Spring 2020,ncsu,2
330.0,118.0,9.25,10.0,Fall 2019,ncsu,2
322.0,109.0,8.38,17.0,Fall 2019,ncsu,2
320.0,103.0,8.07,5.0,Fall 2019,ncsu,2
322.0,104.0,8.5,8.0,Fall 2019,ncsu,2
335.0,113.0,8.02,0.0,Fall 2019,ncsu,2
324.0,115.0,9.66,0.0,Fall 2019,ncsu,2
326.0,113.0,8.11,10.0,Fall 2019,ncsu,2
318.0,97.0,8.71,11.0,Fall 2019,ncsu,2
327.0,102.0,72.0,14.0,Fall 2018,ncsu,2
321.0,100.0,8.4,3.0,Fall 2019,ncsu,2
322.0,114.0,7.61,63.0,Fall 2019,ncsu,2
326.0,100.0,8.68,50.0,Fall 2019,ncsu,2
332.0,106.0,80.25,16.0,Fall 2019,ncsu,2
321.0,104.0,8.22,0.0,Fall 2019,ncsu,2
324.0,114.0,8.41,20.0,Fall 2019,ncsu,2
321.0,101.0,8.81,7.0,Fall 2019,ncsu,2
314.0,115.0,71.0,36.0,Fall 2019,ncsu,2
320.0,109.0,78.0,0.0,Fall 2019,ncsu,2
322.0,106.0,80.05,21.0,Fall 2019,ncsu,2
316.0,110.0,9.44,26.0,Fall 2019,ncsu,2
326.0,116.0,8.8,3.0,Fall 2019,ncsu,2
312.0,93.0,8.3,12.0,Fall 2019,ncsu,2
323.0,117.0,9.55,5.0,Fall 2019,ncsu,2
319.0,106.0,8.5,16.0,Fall 2019,ncsu,2
335.0,109.0,9.07,6.0,Fall 2018,ncsu,2
315.0,103.0,74.0,40.0,Fall 2019,ncsu,2
327.0,106.0,8.56,24.0,Fall 2019,ncsu,2
325.0,115.0,9.17,15.0,Fall 2020,ncsu,2
316.0,107.0,8.96,0.0,Fall 2019,ncsu,2
329.0,110.0,7.0,52.0,Fall 2019,ncsu,2
318.0,110.0,8.33,0.0,Fall 2019,ncsu,2
322.0,110.0,8.91,6.0,Fall 2019,ncsu,2
324.0,111.0,8.86,1.0,Fall 2019,ncsu,2
328.0,109.0,9.11,0.0,Fall 2019,ncsu,2
327.0,114.0,8.97,0.0,Fall 2019,ncsu,2
316.0,105.0,9.78,39.0,Fall 2019,ncsu,2
320.0,101.0,8.59,17.0,Fall 2019,ncsu,2
325.0,111.0,8.3,18.0,Fall 2019,ncsu,2
329.0,108.0,8.45,16.0,Fall 2019,ncsu,2
332.0,108.0,9.36,6.0,Fall 2019,ncsu,2
318.0,108.0,9.595,9.0,Fall 2019,ncsu,2
324.0,104.0,8.27,30.0,Fall 2019,ncsu,2
327.0,109.0,8.32,8.0,Fall 2018,ncsu,2
319.0,103.0,74.5,33.0,Fall 2019,ncsu,2
325.0,106.0,9.28,2.0,Fall 2019,ncsu,2
323.0,107.0,9.2,20.0,Fall 2019,ncsu,2
320.0,109.0,7.96,1.0,Fall 2019,ncsu,2
325.0,99.0,80.0,0.0,Fall 2019,ncsu,2
325.0,114.0,9.22,34.0,Fall 2019,ncsu,2
314.0,106.0,73.2,23.0,Fall 2019,ncsu,2
327.0,106.0,85.2,17.0,Fall 2019,ncsu,2
320.0,108.0,74.5,24.0,Fall 2019,ncsu,2
319.0,106.0,8.89,29.0,Fall 2019,ncsu,2
317.0,101.0,9.0,18.0,Fall 2019,ncsu,2
315.0,109.0,8.96,6.0,Fall 2019,ncsu,2
325.0,113.0,72.5,39.0,Fall 2019,ncsu,2
315.0,95.0,8.8,0.0,Fall 2019,ncsu,2
318.0,111.0,8.93,30.0,Fall 2019,ncsu,2
321.0,107.0,85.0,53.0,Spring 2020,ncsu,2
313.0,97.0,8.2,0.0,Fall 2019,ncsu,2
321.0,113.0,8.8,2.0,Fall 2019,ncsu,2
333.0,114.0,9.02,2.0,Fall 2019,ncsu,2
328.0,105.0,8.25,36.0,Fall 2019,ncsu,2
318.0,104.0,8.68,9.0,Fall 2019,ncsu,2
316.0,101.0,7.7,12.0,Fall 2019,ncsu,2
